iter	Passed	Remaining
723	854	325
724	855	324
725	856	323
726	857	322
727	858	320
728	859	319
729	860	318
730	860	316
731	861	315
732	862	314
733	863	312
734	864	311
735	865	310
736	865	309
737	866	307
738	867	306
739	868	305
740	869	303
741	870	302
742	871	301
743	872	300
744	873	299
745	874	297
746	875	296
747	876	295
748	876	293
749	877	292
750	878	291
751	879	289
752	880	288
753	880	287
754	881	286
755	882	284
756	883	283
757	884	282
758	885	281
759	886	279
760	886	278
761	887	277
762	888	276
763	889	274
764	890	273
765	891	272
766	892	271
767	892	269
768	893	268
769	894	267
770	895	265
771	896	264
772	897	263
773	898	262
774	899	261
775	900	259
776	901	258
777	901	257
778	902	256
779	903	254
780	904	253
781	905	252
782	906	251
783	907	249
784	908	248
785	908	247
786	909	246
787	910	244
788	911	243
789	912	242
790	913	241
791	914	240
792	914	238
793	915	237
794	916	236
795	917	235
796	918	233
797	919	232
798	920	231
799	920	230
800	921	228
801	922	227
802	923	226
803	924	225
804	925	224
805	926	222
806	927	221
807	927	220
808	928	219
809	929	218
810	930	216
811	931	215
812	932	214
813	933	213
814	934	212
815	935	210
816	936	209
817	937	208
818	937	207
819	938	206
820	939	204
821	940	203
822	941	202
823	942	201
824	943	200
825	944	198
826	945	197
827	946	196
828	947	195
829	948	194
830	948	192
831	949	191
832	950	190
833	951	189
834	952	188
835	953	186
836	954	185
837	955	184
838	956	183
839	957	182
840	957	181
841	958	179
842	959	178
843	960	177
844	961	176
845	962	175
846	962	173
847	963	172
848	964	171
849	965	170
850	966	169
851	967	168
852	968	166
853	969	165
854	970	164
855	971	163
856	971	162
857	972	160
858	973	159
859	974	158
860	975	157
861	976	156
862	976	155
863	977	153
864	978	152
865	979	151
866	980	150
867	981	149
868	982	148
869	983	146
870	983	145
871	984	144
872	985	143
873	986	142
874	987	141
875	988	139
876	989	138
877	990	137
878	991	136
879	992	135
880	993	134
881	993	132
882	994	131
883	995	130
884	996	129
885	997	128
886	998	127
887	999	126
888	1000	124
889	1001	123
890	1002	122
891	1003	121
892	1004	120
893	1005	119
894	1006	118
895	1006	116
896	1007	115
897	1008	114
898	1009	113
899	1010	112
900	1011	111
901	1012	109
902	1012	108
903	1013	107
904	1014	106
905	1015	105
906	1016	104
907	1017	103
908	1018	101
909	1019	100
910	1019	99
911	1020	98
912	1021	97
913	1022	96
914	1023	95
915	1024	93
916	1025	92
917	1026	91
918	1026	90
919	1027	89
920	1028	88
921	1029	87
922	1030	85
923	1030	84
924	1031	83
925	1032	82
926	1033	81
927	1034	80
928	1035	79
929	1036	77
930	1037	76
931	1037	75
932	1038	74
933	1039	73
934	1040	72
935	1041	71
936	1042	70
937	1043	68
938	1044	67
939	1045	66
940	1046	65
941	1046	64
942	1047	63
943	1048	62
944	1049	61
945	1050	59
946	1051	58
947	1052	57
948	1053	56
949	1053	55
950	1054	54
951	1055	53
952	1056	52
953	1057	50
954	1058	49
955	1059	48
956	1059	47
957	1060	46
958	1061	45
959	1062	44
960	1063	43
961	1064	42
962	1064	40
963	1065	39
964	1066	38
965	1067	37
966	1068	36
967	1069	35
968	1070	34
969	1071	33
970	1072	32
971	1073	30
972	1074	29
973	1074	28
974	1075	27
975	1076	26
976	1077	25
977	1078	24
978	1079	23
979	1080	22
980	1081	20
981	1081	19
982	1082	18
983	1083	17
984	1084	16
985	1085	15
986	1086	14
987	1087	13
988	1088	12
989	1089	11
990	1090	9
991	1090	8
992	1091	7
993	1092	6
994	1093	5
995	1094	4
996	1095	3
997	1096	2
998	1097	1
999	1098	0
